"verse_number","sanskrit","translation","explanation","problem_category"
"2.68","तस्माद्यस्य महाबाहो निगृहीतानि सर्वशः। इन्द्रियाणीन्द्रियार्थेभ्यस्तस्य प्रज्ञा प्रतिष्ठिता॥","Therefore, O mighty-armed one, one whose senses are restrained from their objects has steady wisdom.","Mastery over sensory temptations enables clarity and wisdom. Focus on developing willpower through conscious effort and practices like fasting or digital detoxing.","Willpower development"
"2.69","या निशा सर्वभूतानां तस्यां जागर्ति संयमी। यस्यां जाग्रति भूतानि सा निशा पश्यतो मुनेः॥","What is night for all beings is the time of awakening for the self-controlled. What is the time of awakening for all beings is night for the introspective sage.","True insight comes from seeing beyond the ordinary. Cultivate wisdom by focusing on higher truths rather than being swayed by popular opinion or material distractions.","Wisdom cultivation"
"2.70","आपूर्यमाणमचलप्रतिष्ठं समुद्रमापः प्रविशन्ति यद्वत्। तद्वत्कामा यं प्रविशन्ति सर्वे स शान्तिमाप्नोति न कामकामी॥","Just as rivers flow into the ocean, which remains unmoved, so too the desires of the self-realized do not disturb their peace.","Peace arises from contentment. Be like the ocean—accept experiences without being overwhelmed. This detachment fosters lasting tranquility.","Contentment"
"2.71","विहाय कामान्यः सर्वान्पुमांश्चरति निःस्पृहः। निर्ममो निरहङ्कारः स शान्तिमधिगच्छति॥","One who abandons all desires and moves through life free of longing, ego, and possessiveness attains peace.","Let go of ego and excessive attachments. Simplicity and humility pave the way for true peace and happiness.","Ego management"
"2.72","एषा ब्राह्मी स्थितिः पार्थ नैनां प्राप्य विमुह्यति। स्थित्वास्यामन्तकालेऽपि ब्रह्मनिर्वाणमृच्छति॥","This is the state of Brahman, O Arjuna. Attaining this, one is not deluded. Being established in it even at the time of death, one attains liberation.","The ultimate goal is liberation through self-realization. Stay steadfast in spiritual practice to transcend confusion and align with your higher purpose.","Spiritual growth"
"3.1","अर्जुन उवाच। ज्यायसी चेत् कर्मणस्ते मता बुद्धिर् जनार्दन। तत्किं कर्मणि घोरे मां नियोजयसि केशव॥","Arjuna said: If You consider knowledge superior to action, O Janardana, why do You then urge me to engage in this terrible action, O Keshava?","When confused about conflicting advice, seek clarity on what aligns with your long-term purpose. Like Arjuna, question and understand the reasoning behind guidance to make an informed decision.","Clarity in decision-making"
"3.2","व्यामिश्रेणेव वाक्येन बुद्धिं मोहयसीव मे। तदेकं वद निश्चित्य येन श्रेयोऽहमाप्नुयाम्॥","You seem to confuse my intellect with conflicting words. Therefore, please tell me decisively that one thing by which I may attain the highest good.","When overwhelmed by options, focus on the one path that aligns with your inner values and goals. Seek advice that resonates with your unique situation.","Overcoming confusion"
"3.3","श्रीभगवानुवाच। लोकेऽस्मिन् द्विविधा निष्ठा पुरा प्रोक्ता मयानघ। ज्ञानयोगेन सांख्यानां कर्मयोगेन योगिनाम्॥","The Blessed Lord said: In this world, two paths of spiritual discipline were taught by Me in the past. The path of knowledge for the contemplative and the path of action for the active.","Recognize your natural inclination (contemplative or active) and choose a corresponding path for growth. Tailoring your approach to your disposition ensures success and fulfillment.","Self-awareness and path selection"
"3.4","न कर्मणामनारम्भान्नैष्कर्म्यं पुरुषोऽश्नुत। न च संन्यसनादेव सिद्धिं समधिगच्छति॥","Not by merely abstaining from work does one achieve freedom from reaction, nor by renunciation alone does one attain perfection.","Action is essential for growth and fulfillment. Avoid escapism under the guise of renunciation. Engage in duties with awareness to progress meaningfully.","Action vs. inaction"
"3.5","न हि कश्चित्क्षणमपि जातु तिष्ठत्यकर्मकृत। कार्यते ह्यवशः कर्म सर्वः प्रकृतिजैर् गुणैः॥","Indeed, no one can ever remain inactive even for a moment. Everyone is helplessly driven to action by the qualities born of nature.","Understand that action is inevitable due to natural tendencies. Use this realization to consciously choose actions aligned with your higher goals rather than being driven by impulses.","Purposeful action"
"3.6","कर्मेन्द्रियाणि संयम्य य आस्ते मनसा स्मरन्। इन्द्रियार्थान्विमूढात्मा मिथ्याचारः स उच्यते॥","One who restrains the senses but mentally dwells on sense objects is a hypocrite and self-deluded.","True self-discipline comes from harmonizing thoughts and actions. Focus on internal purification to achieve authenticity and avoid conflicts between intention and behavior.","Authenticity and discipline"
"3.7","यस्त्विन्द्रियाणि मनसा नियम्यारभतेऽर्जुन। कर्मेन्द्रियैः कर्मयोगमसक्तः स विशिष्यते॥","But one who controls the senses with the mind and engages in selfless action is superior.","Self-mastery involves aligning mind and action. Channel your energy toward purposeful activities, cultivating detachment from the results for greater effectiveness.","Selfless action"
"3.8","नियतं कुरु कर्म त्वं कर्म ज्यायो ह्यकर्मणः। शरीरयात्रापि च ते न प्रसिद्ध्येदकर्मणः॥","Perform your prescribed duties, for action is superior to inaction. Even the maintenance of the body would be impossible without action.","Fulfill your responsibilities diligently, as inaction leads to stagnation. Focus on meaningful tasks to ensure progress and sustain life.","Responsibility and duty"
"3.9","यज्ञार्थात्कर्मणोऽन्यत्र लोकोऽयं कर्मबन्धनः। तदर्थं कर्म कौन्तेय मुक्तसङ्गः समाचर॥","Work done as a sacrifice for the Supreme frees one from bondage. Therefore, perform your duty efficiently, without attachment.","Approach work with a sense of higher purpose rather than attachment to rewards. This mindset liberates you from stress and fosters inner freedom.","Detachment in work"
"3.10","सहयज्ञाः प्रजाः सृष्ट्वा पुरोवाच प्रजापतिः। अनेन प्रसविष्यध्वमेष वोऽस्त्विष्टकामधुक्॥","In the beginning, the Creator, having created mankind together with sacrifices, said: 'By this shall you prosper; let this be the fulfiller of your desires.'","Collaborate with the natural order by contributing to society through selfless service. Recognize that prosperity comes from mutual support and fulfillment of duties.","Collaboration and prosperity"
"3.11","देवान् भावयतान्‍ऽनेन ते देवा भावयन्तु वः। परस्परं भावयन्तः श्रेयः परमवाप्स्यथ॥","By nourishing the gods through sacrifice, they will also nourish you. By mutually supporting one another, you shall achieve the highest good.","Mutual cooperation leads to collective progress. Engage in selfless acts that benefit others, creating a harmonious cycle of support and prosperity.","Collaboration and mutual support"
"3.12","इष्टान्भोगान्हि वो देवा दास्यन्ते यज्ञभाविताः। तैर्दत्तानप्रदायैभ्यो यो भुङ्क्ते स्तेन एव सः॥","The gods, nourished by sacrifice, will grant you desired necessities. One who enjoys these gifts without sharing is verily a thief.","Avoid selfishness; share the resources you receive with others. Gratitude and generosity ensure sustainable abundance for everyone.","Generosity and gratitude"
"3.13","यज्ञशिष्टाशिनः सन्तो मुच्यन्ते सर्वकिल्बिषैः। भुञ्जते ते त्वघं पापा ये पचन्त्यात्मकारणात्॥","The righteous, who eat the remnants of sacrifices, are freed from all sins. Those who prepare food only for themselves are verily sinners.","Adopt a selfless attitude in your actions. Sharing your resources purifies the heart and helps you rise above selfish tendencies.","Selflessness and purification"
"3.14","अन्नाद्भवन्ति भूतानि पर्जन्यादन्नसम्भवः। यज्ञाद्भवति पर्जन्यो यज्ञः कर्मसमुद्भवः॥","All living beings are sustained by food, food is produced by rain, rain arises from sacrifice, and sacrifice is born of action.","Recognize the interconnectedness of actions. Perform duties responsibly, knowing that your efforts contribute to the greater cycle of life.","Responsibility and interconnectedness"
"3.15","कर्म ब्रह्मोद्भवं विद्धि ब्रह्माक्षरसमुद्भवम्। तस्मात्सर्वगतं ब्रह्म नित्यं यज्ञे प्रतिष्ठितम्॥","Know that action arises from the Vedas, and the Vedas come from the Imperishable. Therefore, the all-pervading Absolute is ever established in sacrifice.","Align your actions with universal principles, understanding that they have a higher purpose. This mindset connects you to the divine flow of existence.","Alignment with universal principles"
"3.16","एवं प्रवर्तितं चक्रं नानुवर्तयतीह यः। अघायुरिन्द्रियारामो मोगं पार्थ स जीवति॥","One who does not follow the cycle of creation established in the scriptures, who is self-centered and indulgent, lives in vain, O Partha.","Avoid a life of selfish indulgence; contribute to the system that sustains you. Engaging in selfless work brings fulfillment and purpose.","Purposeful living"
"3.17","यस्त्वात्मरतिरेव स्यादात्मतृप्तश्च मानवः। आत्मन्येव च संतुष्टस्तस्य कार्यं न विद्यते॥","But for the one who delights in the Self, is satisfied with the Self, and is content within the Self, there is no duty.","Inner contentment eliminates dependence on external validation. Focus on self-realization to transcend the need for external rewards.","Inner contentment"
"3.18","नैव तस्य कृतेनार्थो नाकृतेनेह कश्चन। न चास्य सर्वभूतेषु कश्चिदर्थव्यपाश्रयः॥","Such a person has nothing to gain from action or inaction. They are not dependent on any being for anything.","Cultivate independence by finding satisfaction within yourself. This allows you to act without expectations and remain unaffected by outcomes.","Independence and self-sufficiency"
"3.19","तस्मादसक्तः सततं कार्यं कर्म समाचर। असक्तो ह्याचरन्कर्म परमाप्नोति पूरुषः॥","Therefore, perform your prescribed duties without attachment. By acting without attachment, one attains the Supreme.","Detachment from results empowers focused action. Perform duties with dedication while remaining unattached to outcomes for spiritual progress.","Detachment in action"
"3.20","कर्मणैव हि संसिद्धिमास्थिता जनकादयः। लोकसंग्रहमेवापि संपश्यन्कर्तुमर्हसि॥","Indeed, by action alone, Janaka and others attained perfection. You should perform your duties for the welfare of the world.","Lead by example to inspire others. Selfless action benefits society while enabling personal growth and spiritual advancement.","Leadership and societal welfare"
"3.21","यद्यदाचरति श्रेष्ठस्तत्तदेवेतरो जनः। स यत्प्रमाणं कुरुते लोकस्तदनुवर्तते॥","Whatever action a great person performs, others follow. Whatever standards they set, the world adopts.","Lead by example, as people look up to role models. Your actions shape the behavior of others, emphasizing the importance of integrity and responsibility.","Leadership and influence"
"3.22","न मे पार्थास्ति कर्तव्यं त्रिषु लोकेषु किञ्चन। नानवाप्तमवाप्तव्यं वर्त एव च कर्मणि॥","O Partha, I have no duty in the three worlds, nothing to gain or achieve, yet I am engaged in action.","Even when you feel no personal gain is involved, continue to perform your duties selflessly. This ensures the proper functioning of the world and sets a positive example.","Duty and selflessness"
"3.23","यद्यहं न वर्तेयं जातु कर्मण्यतन्द्रितः। मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः॥","If I were not to engage tirelessly in action, O Partha, people everywhere would follow my path.","Understand the impact of your actions on others. Consistent effort inspires others to stay dedicated to their responsibilities.","Consistency and inspiration"
"3.24","उत्सीदेयुरिमे लोका न कुर्यां कर्म चेदहम्। सङ्करस्य च कर्ता स्यामुपहन्यामिमाः प्रजाः॥","If I did not perform actions, these worlds would perish. I would be the cause of confusion and destruction of all beings.","Avoid neglecting your duties, as it can lead to chaos and harm. Fulfilling your responsibilities contributes to stability and order in society.","Responsibility and societal stability"
"3.25","सक्ताः कर्मण्यविद्वांसो यथा कुर्वन्ति भारत। कुर्याद्विद्वांस्तथासक्तश्चिकीर्षुर्लोकसङ्ग्रहम्॥","As the ignorant act with attachment to results, O Bharata, the wise should act without attachment, aiming for the welfare of the world.","Perform actions selflessly to inspire others and promote collective well-being. Wisdom lies in detachment from personal gain.","Selfless service"
"3.26","न बुद्धिभेदं जनयेदज्ञानां कर्मसङ्गिनाम्। जोषयेत्सर्वकर्माणि विद्वान्युक्तः समाचरन्॥","The wise should not unsettle the ignorant, who are attached to action. Instead, they should engage them in all actions while practicing self-control.","Guide others gently by participating in shared efforts without causing confusion. Inspire change through understanding and example.","Guidance and empathy"
"3.27","प्रकृतेः क्रियमाणानि गुणैः कर्माणि सर्वशः। अहङ्कारविमूढात्मा कर्ताहमिति मन्यते॥","All actions are performed by the modes of nature. The deluded soul, influenced by ego, thinks, 'I am the doer.'","Recognize that your actions are influenced by natural tendencies. This awareness reduces ego and fosters humility in your efforts.","Ego and humility"
"3.28","तत्त्ववित्तु महाबाहो गुणकर्मविभागयोः। गुणा गुणेषु वर्तन्त इति मत्वा न सज्जते॥","But one who knows the truth, O mighty-armed, understands the interaction of the modes and remains unattached.","Develop awareness of the interplay of nature’s forces. This understanding helps maintain detachment and focus on your higher purpose.","Awareness and detachment"
"3.29","प्रकृतेर्गुणसम्मूढाः सज्जन्ते गुणकर्मसु। तानकृत्स्नविदो मन्दान्कृत्स्नविन्न विचालयेत्॥","The ignorant, deluded by the modes of nature, become attached to actions. The wise should not disturb their understanding.","Approach others with compassion and patience. Help them gradually grow in awareness rather than forcing abrupt changes.","Patience and compassion"
"3.30","मयि सर्वाणि कर्माणि सन्न्यस्याध्यात्मचेतसा। निराशीर्निर्ममो भूत्वा युध्यस्व विगतज्वरः॥","Dedicate all actions to Me with a focused mind. Free from desire and ego, engage in your duties without anxiety.","Surrender your efforts to a higher purpose. This relieves stress and fosters clarity, enabling effective and peaceful action.","Surrender and peace"
"3.31","ये मे मतमिदं नित्यमनुतिष्ठन्ति मानवाः। श्रद्धावन्तोऽनसूयन्तो मुच्यन्ते तेऽपि कर्मभिः॥","Those who always follow this teaching of Mine with faith and without envy are freed from the bondage of karma.","Follow principles with sincerity and trust. Faith and humility in adhering to ethical guidance help overcome challenges and lead to liberation from worldly struggles.","Faith and liberation"
"3.32","ये त्वेतदभ्यसूयन्तो नानुतिष्ठन्ति मे मतम्। सर्वज्ञानविमूढांस्तान्विद्धि नष्टानचेतसः॥","But those who, out of envy, do not follow My teaching, are deluded, devoid of knowledge, and lost in their folly.","Avoid arrogance and envy when encountering wisdom. Open-mindedness and respect for knowledge prevent ignorance and lead to progress.","Arrogance and ignorance"
"3.33","सदृशं चेष्टते स्वस्याः प्रकृतेर्ज्ञानवानपि। प्रकृतिं यान्ति भूतानि निग्रहः किं करिष्यति॥","Even the wise act according to their nature. All beings follow their nature. What can restraint accomplish?","Understand and accept your inherent tendencies. Instead of suppressing them, channel them positively for growth and harmony.","Self-awareness and acceptance"
"3.34","इन्द्रियस्येन्द्रियस्यार्थे रागद्वेषौ व्यवस्थितौ। तयोर्न वशमागच्छेतौ ह्यस्य परिपन्थिनौ॥","Attachment and aversion arise from the senses toward their objects. Do not fall under their influence, as they are obstacles.","Overcome extremes of attachment and aversion to maintain balance. Self-control helps navigate life’s distractions and challenges effectively.","Self-control and balance"
"3.35","श्रेयान्स्वधर्मो विगुणः परधर्मात्स्वनुष्ठितात्। स्वधर्मे निधनं श्रेयः परधर्मो भयावहः॥","It is better to perform one's own duty, even if imperfectly, than to perform another's duty perfectly. Death in one's own duty is better; another's duty brings danger.","Focus on your own path and responsibilities. Comparing yourself to others’ journeys can lead to insecurity and fear.","Personal purpose and focus"
"3.36","अथ केन प्रयुक्तोऽयं पापं चरति पूरुषः। अनिच्छन्नपि वार्ष्णेय बलादिव नियोजितः॥","Arjuna asked: O Varshneya, what compels a person to commit sin, even unwillingly, as if by force?","When facing impulsive tendencies, question their origin. Identifying the cause can help regain control and prevent harmful actions.","Impulses and self-control"
"3.37","काम एष क्रोध एष रजोगुणसमुद्भवः। महाशनो महापाप्मा विद्ध्येनमिह वैरिणम्॥","The Blessed Lord said: It is lust and anger, born of passion, that are all-devouring and sinful. Know these as the great enemies.","Beware of desires and anger as they cloud judgment. Identifying and managing them is key to maintaining clarity and peace.","Desire and anger management"
"3.38","धूमेनाव्रियते वह्निर्यथादर्शो मलेन च। यथोल्बेनावृतो गर्भस्तथा तेनेदमावृतम्॥","Just as fire is obscured by smoke, a mirror by dust, or a fetus by the womb, so is knowledge covered by this desire.","Recognize how desires can obscure wisdom. Clearing these obstructions allows clarity and insight to emerge.","Obstacles to clarity"
"3.39","आवृतं ज्ञानमेतेन ज्ञानिनो नित्यवैरिणा। कामरूपेण कौन्तेय दुष्पूरेणानलेन च॥","Knowledge is covered by this eternal enemy in the form of insatiable desire, O Kaunteya, which is like an unquenchable fire.","Curb unending desires that block wisdom. Contentment leads to liberation from this internal adversary.","Contentment and wisdom"
"3.40","इन्द्रियाणि मनो बुद्धिरस्याधिष्ठानमुच्यते। एतैर्विमोहयत्येष ज्ञानमावृत्य देहिनम्॥","The senses, the mind, and the intellect are said to be its dwelling. Through these, it deludes the embodied soul by covering knowledge.","Control your senses, mind, and intellect to prevent delusion. Discipline in these areas protects your wisdom.","Discipline and clarity"
"3.41","तस्मात्त्वमिन्द्रियाण्यादौ नियम्य भरतर्षभ। पाप्मानं प्रजहि ह्येनं ज्ञानविज्ञाननाशनम्॥","Therefore, O best of the Bharatas, first control the senses and then slay this sinful desire, the destroyer of knowledge and realization.","Begin by mastering your senses to weaken destructive impulses. This paves the way for wisdom and self-realization.","Mastery over impulses"
"3.42","इन्द्रियाणि पराण्याहुरिन्द्रियेभ्यः परं मनः। मनसस्तु परा बुद्धिर्यो बुद्धेः परतस्तु सः॥","The senses are superior to the body, the mind is superior to the senses, the intellect is superior to the mind, but the self is superior to the intellect.","Understand the hierarchy of control within yourself. Strengthen the intellect and connect with your higher self for inner mastery.","Inner hierarchy and control"
"3.43","एवं बुद्धेः परं बुद्ध्वा संस्तभ्यात्मानमात्मना। जहि शत्रुं महाबाहो कामरूपं दुरासदम्॥","Thus, knowing the self to be superior to the intellect, steady the mind by the self, and conquer this insatiable enemy, desire.","Utilize self-awareness to stabilize your mind and overcome desires. Self-mastery is the ultimate path to victory over internal challenges.","Self-awareness and mastery"
"4.1","श्रीभगवानुवाच। इमं विवस्वते योगं प्रोक्तवानहमव्ययम्। विवस्वान् मनवे प्राह मनुरिक्ष्वाकवेऽब्रवीत्॥","The Blessed Lord said: I taught this imperishable yoga to Vivasvan; Vivasvan taught it to Manu, and Manu taught it to Ikshvaku.","Timeless wisdom is passed down through generations. Trust in proven knowledge and share it responsibly to ensure its continuity.","Wisdom and tradition"
"4.2","एवं परम्पराप्राप्तमिमं राजर्षयो विदुः। स कालेनेह महता योगो नष्टः परन्तप॥","Thus handed down in succession, the royal sages knew this yoga. But through the long lapse of time, it has been lost here, O Parantapa.","Valuable knowledge can fade over time without preservation. Cultivate and uphold traditions to protect meaningful teachings.","Preservation of values"
"4.3","स एवायं मया तेऽद्य योगः प्रोक्तः पुरातनः। भक्तोऽसि मे सखा चेति रहस्यं ह्येतदुत्तमम्॥","That same ancient yoga has been taught to you by Me today, for you are My devotee and My friend; it is a supreme secret.","Sharing wisdom is best done with trust and devotion. Seek relationships where growth and learning can thrive mutually.","Trust and learning"
"4.4","अपरं भवतो जन्म परं जन्म विवस्वतः। कथमेतद्विजानीयां त्वमादौ प्रोक्तवानिति॥","Arjuna said: Your birth is recent, and the birth of Vivasvan is ancient. How am I to understand that You taught this in the beginning?","Questioning with curiosity is the foundation of understanding. Doubt constructively to gain clarity and strengthen belief.","Curiosity and inquiry"
"4.5","बहूनि मे व्यतीतानि जन्मानि तव चार्जुन। तान्यहं वेद सर्वाणि न त्वं वेत्थ परन्तप॥","The Blessed Lord said: Many births of Mine have passed, as have yours, O Arjuna. I know them all, but you do not remember them, O Parantapa.","The divine is timeless and remembers all. Trust in higher wisdom, even when personal understanding is limited.","Faith in higher wisdom"
"4.6","अजोऽपि सन्नव्ययात्मा भूतानामीश्वरोपि सन्। प्रकृतिं स्वामधिष्ठाय सम्भवाम्यात्ममायया॥","Though I am unborn, imperishable, and the Lord of all beings, I manifest Myself by My own divine power.","Even the infinite takes form to guide. Believe in the power of divine intervention to restore balance in critical times.","Divine intervention"
"4.7","यदा यदा हि धर्मस्य ग्लानिर्भवति भारत। अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम्॥","Whenever there is a decline in righteousness and an increase in unrighteousness, O Bharata, at that time I manifest Myself.","When challenges grow, solutions arise. Trust that the right guidance will emerge during times of crisis.","Hope in adversity"
"4.8","परित्राणाय साधूनां विनाशाय च दुष्कृताम्। धर्मसंस्थापनार्थाय सम्भवामि युगे युगे॥","For the protection of the good and the destruction of the wicked, and for the establishment of righteousness, I appear from age to age.","Uphold righteousness in all circumstances. Forces of good always prevail, ensuring justice and balance.","Justice and righteousness"
"4.9","जन्म कर्म च मे दिव्यमेवं यो वेत्ति तत्त्वतः। त्यक्त्वा देहं पुनर्जन्म नैति मामेति सोऽर्जुन॥","One who understands My divine birth and actions in truth does not, upon leaving the body, take birth again but comes to Me, O Arjuna.","Knowing the divine’s purpose leads to liberation. Seek truth and align actions to transcend worldly cycles.","Liberation and purpose"
"4.10","वीतरागभयक्रोधा मन्मया मामुपाश्रिताः। बहवो ज्ञानतपसा पूता मद्भावमागताः॥","Freed from attachment, fear, and anger, absorbed in Me, and purified by the fire of knowledge, many have attained My state.","Let go of attachment, fear, and anger to realize peace. Knowledge and devotion purify and lead to divine union.","Detachment and purification"
"4.11","ये यथा मां प्रपद्यन्ते तांस्तथैव भजाम्यहम्। मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः॥","As people approach Me, so I receive them. All paths, O Arjuna, lead to Me.","Approach life with sincerity and intent. Your efforts will be met with corresponding outcomes. Trust that all paths of genuine effort lead to growth and fulfillment.","Effort and receptivity"
"4.12","काङ्क्षन्तः कर्मणां सिद्धिं यजन्त इह देवताः। क्षिप्रं हि मानुषे लोके सिद्धिर्भवति कर्मजा॥","Those who seek success in actions worship the celestial gods. In this world of men, success from actions comes quickly.","Desire motivates action. Align your actions with purpose, and results will follow naturally in their due time.","Motivation and action"
"4.13","चातुर्वर्ण्यं मया सृष्टं गुणकर्मविभागशः। तस्य कर्तारमपि मां विद्ध्यकर्तारमव्ययम्॥","The fourfold division of society was created by Me based on qualities and work. Though I am its creator, know Me to be beyond action and imperishable.","Roles in life are shaped by abilities and responsibilities. Accept your role without attachment and aim to contribute meaningfully.","Roles and duties"
"4.14","न मां कर्माणि लिम्पन्ति न मे कर्मफले स्पृहा। इति मां योऽभिजानाति कर्मभिर्न स बध्यते॥","Actions do not taint Me, nor do I desire the fruits of actions. One who knows Me in this way is not bound by actions.","Perform duties without attachment to results. Freedom arises when you act selflessly and without expectation.","Detachment in action"
"4.15","एवं ज्ञात्वा कृतं कर्म पूर्वैरपि मुमुक्षुभिः। कुरु कर्मैव तस्मात्त्वं पूर्वैः पूर्वतरं कृतम्॥","Knowing this, the seekers of liberation in ancient times performed their duties. Therefore, you too should act as they did.","Learn from those who have walked the path before you. Their disciplined actions provide a blueprint for growth and liberation.","Learning from predecessors"
"4.16","किं कर्म किमकर्मेति कवयोऽप्यत्र मोहिताः। तत् ते कर्म प्रवक्ष्यामि यज्ज्ञात्वा मोक्ष्यसेऽशुभात्॥","What is action and what is inaction? Even the wise are confused in this matter. I shall explain to you this truth, knowing which you shall be freed from misfortune.","Understanding the nature of action is key to freedom. Reflect deeply on your intentions and the impact of your deeds.","Understanding action"
"4.17","कर्मणो ह्यपि बोद्धव्यं बोद्धव्यं च विकर्मणः। अकर्मणश्च बोद्धव्यं गहना कर्मणो गतिः॥","You must understand what action is, what forbidden action is, and what inaction is. The path of action is indeed mysterious.","Clarity about actions, wrong actions, and inactions helps in making ethical choices. Strive to act wisely and avoid harm.","Ethical decision-making"
"4.18","कर्मण्यकर्म यः पश्येदकर्मणि च कर्म यः। स बुद्धिमान् मनुष्येषु स युक्तः कृत्स्नकर्मकृत्॥","One who sees inaction in action and action in inaction is wise among humans. Such a person is disciplined and completes all actions.","Balance action with mindfulness. Recognize the subtle impacts of your deeds and find peace in purposeful activity.","Mindful action"
"4.19","यस्य सर्वे समारम्भाः कामसङ्कल्पवर्जिताः। ज्ञानाग्निदग्धकर्माणं तमाहुः पण्डितं बुधाः॥","One whose undertakings are free from desire and plans, and whose actions are burned by the fire of knowledge, is called a wise person by the learned.","Let knowledge guide your actions. Wisdom and detachment lead to true fulfillment and inner peace.","Knowledge-driven action"
"4.20","त्यक्त्वा कर्मफलासङ्गं नित्यतृप्तो निराश्रयः। कर्मण्यभिप्रवृत्तोऽपि नैव किञ्चित्करोति सः॥","Having renounced attachment to the fruits of action, always satisfied and independent, one does nothing at all even while engaged in action.","Detach from outcomes and find contentment in the process. True independence arises when you act without dependence on rewards.","Contentment in detachment"
"4.21","निराशीः यतचित्तात्मा त्यक्तसर्वपरिग्रहः। शारीरं केवलं कर्म कुर्वन्नाप्नोति किल्बिषम्॥","One who is free from desires, self-controlled, and has renounced all possessions, performing mere bodily actions, incurs no sin.","Focus on essential actions without attachment to possessions or desires. This mindset leads to purity and prevents mistakes born out of attachment.","Detachment and discipline"
"4.22","यदृच्छालाभसंतुष्टो द्वन्द्वातीतो विमत्सरः। समः सिद्धावसिद्धौ च कृत्वापि न निबध्यते॥","Content with whatever comes unasked, free from dualities, without envy, and equal in success and failure, such a person is never bound by actions.","Accept life as it comes, without excessive joy or sorrow. Equanimity in outcomes frees you from emotional turmoil and bondage.","Contentment and equanimity"
"4.23","गतसङ्गस्य मुक्तस्य ज्ञानावस्थितचेतसः। यज्ञायाचरतः कर्म समग्रं प्रविलीयते॥","For one free from attachment, liberated, and established in knowledge, all actions performed as sacrifice dissolve entirely.","Perform actions as offerings, not for personal gain. This leads to liberation and the dissolution of karmic burdens.","Selfless service"
"4.24","ब्रह्मार्पणं ब्रह्म हविर्ब्रह्माग्नौ ब्रह्मणा हुतम्। ब्रह्मैव तेन गन्तव्यं ब्रह्मकर्मसमाधिना॥","The act of offering is Brahman, the oblation is Brahman, and it is offered by Brahman into the fire of Brahman. Brahman is the goal of the one who is absorbed in Brahman through action.","See divinity in every aspect of life. Viewing all actions as sacred fosters unity and higher realization.","Spiritual awareness"
"4.25","दैवमेवापरे यज्ञं योगिनः पर्युपासते। ब्रह्माग्नावपरे यज्ञं यज्ञेनैवोपजुह्वति॥","Some yogis worship gods as sacrifice, while others offer sacrifice into the fire of Brahman through sacrifice itself.","Different paths of devotion and wisdom lead to the same ultimate goal. Choose the path that resonates with your nature.","Path to spiritual growth"
"4.26","श्रोत्रादीनीन्द्रियाण्यन्ये संयमाग्निषु जुह्वति। शब्दादीन्विषयानन्य इन्द्रियाग्निषु जुह्वति॥","Some offer hearing and other senses into the fire of restraint, while others offer sound and other sense objects into the fires of the senses.","Discipline over the senses and mindful engagement with the world transforms sensory experiences into spiritual growth.","Sensory discipline"
"4.27","सर्वाणीन्द्रियकर्माणि प्राणकर्माणि चापरे। आत्मसंयमयोगाग्नौ जुह्वति ज्ञानदीपिते॥","Others sacrifice all actions of the senses and the functions of the breath in the fire of the self-controlled mind, kindled by knowledge.","Cultivate self-control and wisdom. Align your actions with higher consciousness to achieve inner harmony.","Self-control and wisdom"
"4.28","द्रव्ययज्ञास्तपोयज्ञा योगयज्ञास्तथापरे। स्वाध्यायज्ञानयज्ञाश्च यतयः संशितव्रताः॥","Some perform sacrifice with material possessions, others through austerities, yoga, study, or knowledge, all being disciplined and of firm resolve.","Sacrifice comes in many forms—material, mental, or spiritual. Commit to the form that aligns with your strengths and goals.","Sacrifice and discipline"
"4.29","अपाने जुह्वति प्राणं प्राणेऽपानं तथापरे। प्राणापानगती रुद्ध्वा प्राणायामपरायणाः॥","Some offer the outgoing breath into the incoming breath, and the incoming into the outgoing, restraining the flow of both through breath control.","Practice breath control to balance physical and mental energies. This discipline enhances focus and clarity.","Breath control and focus"
"4.30","अपरे नियताहाराः प्राणान्प्राणेषु जुह्वति। सर्वेऽप्येते यज्ञविदो यज्ञक्षपितकल्मषाः॥","Others, regulated in diet, offer life energy into life energy. All these performers of sacrifice, having understood its essence, are purified of sin.","Regulate your habits, including diet, to purify your body and mind. Controlled living leads to inner cleansing and spiritual progress.","Discipline and purification"
"4.31","यज्ञशिष्टामृतभुजो यान्ति ब्रह्म सनातनम्। नायं लोकोऽस्त्ययज्ञस्य कुतोऽन्यः कुरुसत्तम॥","Those who partake of the remnants of sacrifice attain the eternal Brahman. For one who does not perform sacrifice, this world is not joyful; how then the other, O best of the Kurus?","Perform acts of selflessness and sacrifice to experience true fulfillment and higher spiritual realization. Without such effort, both worldly and spiritual joys remain inaccessible.","Selflessness and fulfillment"
"4.32","एवं बहुविधा यज्ञा वितता ब्रह्मणो मुखे। कर्मजान्विद्धि तान्सर्वानेवं ज्ञात्वा विमोक्ष्यसे॥","Thus, various types of sacrifices are spread out in the Vedas. Know them all to arise from action. Knowing this, you shall be liberated.","Understand the diversity of righteous actions and embrace them. Awareness of their purpose leads to liberation from ignorance and bondage.","Awareness and liberation"
